ID,Name,reinforcement,aow_allowed,wepType,wepTypeCol,maxArrowQuantity
6020000,Great Épée,standard,1,16,SpearHeavy,1
6040000,Dragon King's Cragblade,somber,0,16,SpearHeavy,1
7000000,Falchion,standard,1,9,SaberNormal,1
7010000,Beastman's Curved Sword,standard,1,9,SaberNormal,1
7020000,Shotel,standard,1,9,SaberNormal,1
7030000,Shamshir,standard,1,9,SaberNormal,1
7040000,Bandit's Curved Sword,standard,1,9,SaberNormal,1
7050000,Magma Blade,somber,0,9,SaberNormal,1
7060000,Flowing Curved Sword,standard,1,9,SaberNormal,1
7070000,Wing of Astel,somber,0,9,SaberNormal,1
7080000,Scavenger's Curved Sword,standard,1,9,SaberNormal,1
7100000,Eclipse Shotel,somber,0,9,SaberNormal,1
7110000,Serpent-God's Curved Sword,standard,1,9,SaberNormal,1
7120000,Mantis Blade,standard,1,9,SaberNormal,1
7140000,Scimitar,standard,1,9,SaberNormal,1
7150000,Grossmesser,standard,1,9,SaberNormal,1
8010000,Onyx Lord's Greatsword,somber,0,11,SaberLarge,1
8020000,Dismounter,standard,1,11,SaberLarge,1
8030000,Bloodhound's Fang,somber,0,11,SaberLarge,1
8040000,Magma Wyrm's Scalesword,somber,0,11,SaberLarge,1
8050000,Zamor Curved Sword,somber,0,11,SaberLarge,1
8060000,Omen Cleaver,standard,1,11,SaberLarge,1
8070000,Monk's Flameblade,standard,1,11,SaberLarge,1
8080000,Beastman's Cleaver,standard,1,11,SaberLarge,1
8100000,Morgott's Cursed Sword,somber,0,11,SaberLarge,1
9000000,Uchigatana,standard,1,13,katana,1
9010000,Nagakiba,standard,1,13,katana,1
9020000,Hand of Malenia,somber,0,13,katana,1
9030000,Meteoric Ore Blade,somber,0,13,katana,1
9040000,Rivers of Blood,somber,0,13,katana,1
9060000,Moonveil,somber,0,13,katana,1
9070000,Dragonscale Blade,somber,0,13,katana,1
9080000,Serpentbone Blade,standard,0,13,katana,1
10000000,Twinblade,standard,1,14,SwordDoubleEdge,1
10010000,Godskin Peeler,standard,1,14,SwordDoubleEdge,1
10030000,Twinned Knight Swords,standard,1,14,SwordDoubleEdge,1
10050000,Eleonora's Poleblade,somber,0,14,SwordDoubleEdge,1
10080000,Gargoyle's Twinblade,standard,1,14,SwordDoubleEdge,1
10090000,Gargoyle's Black Blades,somber,0,14,SwordDoubleEdge,1
11000000,Mace,standard,1,21,HammerNormal,1
11010000,Club,standard,1,21,HammerNormal,1
11030000,Curved Club,standard,1,21,HammerNormal,1
11040000,Warpick,standard,1,21,HammerNormal,1
11050000,Morning Star,standard,1,21,HammerNormal,1
11060000,Varré's Bouquet,somber,0,21,HammerNormal,1
11070000,Spiked Club,standard,1,21,HammerNormal,1
11080000,Hammer,standard,1,21,HammerNormal,1
11090000,Monk's Flamemace,standard,1,21,HammerNormal,1
11100000,Envoy's Horn,somber,0,21,HammerNormal,1
11110000,Scepter of the All-Knowing,somber,0,21,HammerNormal,1
11120000,Nox Flowing Hammer,somber,0,21,HammerNormal,1
11130000,Ringed Finger,somber,0,21,HammerNormal,1
11140000,Stone Club,standard,1,21,HammerNormal,1
11150000,Marika's Hammer,somber,0,21,HammerNormal,1
12000000,Large Club,standard,1,23,HammerLarge,1
12010000,Greathorn Hammer,standard,1,23,HammerLarge,1
12020000,Battle Hammer,standard,1,23,HammerLarge,1
12060000,Great Mace,standard,1,23,HammerLarge,1
12080000,Curved Great Club,standard,1,23,HammerLarge,1
12130000,Celebrant's Skull,standard,1,23,HammerLarge,1
12140000,Pickaxe,standard,1,23,HammerLarge,1
12150000,Beastclaw Greathammer,somber,0,23,HammerLarge,1
12160000,Envoy's Long Horn,somber,0,23,HammerLarge,1
12170000,Cranial Vessel Candlestand,somber,0,23,HammerLarge,1
12180000,Great Stars,standard,1,23,HammerLarge,1
12190000,Brick Hammer,standard,1,23,HammerLarge,1
12200000,Devourer's Scepter,somber,0,23,HammerLarge,1
12210000,Rotten Battle Hammer,standard,1,23,HammerLarge,1
13000000,Nightrider Flail,standard,1,24,Flail,1
13010000,Flail,standard,1,24,Flail,1
13020000,Family Heads,somber,0,24,Flail,1
13030000,Bastard's Stars,somber,0,24,Flail,1
13040000,Chainlink Flail,standard,1,24,Flail,1
14000000,Battle Axe,standard,1,17,AxeNormal,1
14010000,Forked Hatchet,standard,1,17,AxeNormal,1
14020000,Hand Axe,standard,1,17,AxeNormal,1
14030000,Jawbone Axe,standard,1,17,AxeNormal,1
14040000,Iron Cleaver,standard,1,17,AxeNormal,1
14050000,Ripple Blade,standard,0,17,AxeNormal,1
14060000,Celebrant's Cleaver,standard,1,17,AxeNormal,1
14080000,Icerind Hatchet,somber,0,17,AxeNormal,1
14100000,Highland Axe,standard,1,17,AxeNormal,1
14110000,Sacrificial Axe,standard,1,17,AxeNormal,1
14120000,Rosus' Axe,somber,0,17,AxeNormal,1
14140000,Stormhawk Axe,somber,0,17,AxeNormal,1
15000000,Greataxe,standard,1,19,AxeLarge,1
15010000,Warped Axe,standard,1,17,AxeNormal,1
15020000,Great Omenkiller Cleaver,standard,1,19,AxeLarge,1
15030000,Crescent Moon Axe,standard,1,19,AxeLarge,1
15040000,Axe of Godrick,somber,0,19,AxeLarge,1
15050000,Longhaft Axe,standard,1,19,AxeLarge,1
15060000,Rusted Anchor,standard,1,19,AxeLarge,1
15080000,Executioner's Greataxe,standard,1,19,AxeLarge,1
15110000,Winged Greathorn,somber,0,19,AxeLarge,1
15120000,Butchering Knife,standard,1,19,AxeLarge,1
15130000,Gargoyle's Great Axe,standard,1,19,AxeLarge,1
15140000,Gargoyle's Black Axe,somber,0,19,AxeLarge,1
16000000,Short Spear,standard,1,25,SpearNormal,1
16010000,Spear,standard,1,25,SpearNormal,1
16020000,Crystal Spear,somber,0,25,SpearNormal,1
16030000,Clayman's Harpoon,standard,1,25,SpearNormal,1
16040000,Cleanrot Spear,somber,0,25,SpearNormal,1
16050000,Partisan,standard,1,25,SpearNormal,1
16060000,Celebrant's Rib-Rake,standard,1,25,SpearNormal,1
16070000,Pike,standard,1,25,SpearNormal,1
16080000,Torchpole,standard,0,25,SpearNormal,1
16090000,Bolt of Gransax,somber,0,25,SpearNormal,1
16110000,Cross-Naginata,standard,1,25,SpearNormal,1
16120000,Death Ritual Spear,somber,0,25,SpearNormal,1
16130000,Inquisitor's Girandole,somber,0,25,SpearNormal,1
16140000,Spiked Spear,standard,1,25,SpearNormal,1
16150000,Iron Spear,standard,1,25,SpearNormal,1
16160000,Rotten Crystal Spear,somber,0,25,SpearNormal,1
17010000,Mohgwyn's Sacred Spear,somber,0,28,SpearLarge,1
17020000,Siluria's Tree,somber,0,28,SpearLarge,1
17030000,Serpent-Hunter,somber,0,28,SpearLarge,1
17050000,Vyke's War Spear,somber,0,28,SpearLarge,1
17060000,Lance,standard,1,28,SpearLarge,1
17070000,Treespear,standard,0,28,SpearLarge,1
18000000,Halberd,standard,1,29,SpearAxe,1
18010000,Pest's Glaive,standard,1,29,SpearAxe,1
18020000,Lucerne,standard,1,29,SpearAxe,1
18030000,Banished Knight's Halberd,standard,1,29,SpearAxe,1
18040000,Commander's Standard,somber,0,29,SpearAxe,1
18050000,Nightrider Glaive,standard,1,29,SpearAxe,1
18060000,Ripple Crescent Halberd,standard,0,29,SpearAxe,1
18070000,Vulgar Militia Saw,standard,1,29,SpearAxe,1
18080000,Golden Halberd,somber,0,29,SpearAxe,1
18090000,Glaive,standard,1,29,SpearAxe,1
18100000,Loretta's War Sickle,somber,0,29,SpearAxe,1
18110000,Guardian's Swordspear,standard,1,29,SpearAxe,1
18130000,Vulgar Militia Shotel,standard,1,29,SpearAxe,1
18140000,Dragon Halberd,somber,0,29,SpearAxe,1
18150000,Gargoyle's Halberd,standard,1,29,SpearAxe,1
18160000,Gargoyle's Black Halberd,somber,0,29,SpearAxe,1
19000000,Scythe,standard,1,31,Sickle,1
19010000,Grave Scythe,standard,1,31,Sickle,1
19020000,Halo Scythe,somber,0,31,Sickle,1
19060000,Winged Scythe,somber,0,31,Sickle,1
20000000,Whip,standard,1,39,Whip,1
20020000,Thorned Whip,standard,1,39,Whip,1
20030000,Magma Whip Candlestick,somber,0,39,Whip,1
20050000,Hoslow's Petal Whip,standard,1,39,Whip,1
20060000,Giant's Red Braid,somber,0,39,Whip,1
20070000,Urumi,standard,1,39,Whip,1
21000000,Caestus,standard,1,35,Knuckle,1
21010000,Spiked Caestus,standard,1,35,Knuckle,1
21060000,Grafted Dragon,somber,0,35,Knuckle,1
21070000,Iron Ball,standard,1,35,Knuckle,1
21080000,Star Fist,standard,1,35,Knuckle,1
21100000,Katar,standard,1,35,Knuckle,1
21110000,Clinging Bone,somber,0,35,Knuckle,1
21120000,Veteran's Prosthesis,somber,0,35,Knuckle,1
21130000,Cipher Pata,somber,0,35,Knuckle,1
22000000,Hookclaws,standard,1,37,Claw,1
22010000,Venomous Fang,standard,1,37,Claw,1
22020000,Bloodhound Claws,standard,1,37,Claw,1
22030000,Raptor Talons,standard,1,37,Claw,1
23000000,Prelate's Inferno Crozier,standard,1,41,AxhammerLarge,1
23010000,Watchdog's Staff,somber,0,41,AxhammerLarge,1
23020000,Great Club,standard,0,41,AxhammerLarge,1
23030000,Envoy's Greathorn,somber,0,41,AxhammerLarge,1
23040000,Duelist Greataxe,standard,1,41,AxhammerLarge,1
23050000,Axe of Godfrey,somber,0,41,AxhammerLarge,1
23060000,Dragon Greatclaw,somber,0,41,AxhammerLarge,1
23070000,Staff of the Avatar,somber,0,41,AxhammerLarge,1
23080000,Fallingstar Beast Jaw,somber,0,41,AxhammerLarge,1
23100000,Ghiza's Wheel,somber,0,41,AxhammerLarge,1
23110000,Giant-Crusher,standard,1,41,AxhammerLarge,1
23120000,Golem's Halberd,standard,1,41,AxhammerLarge,1
23130000,Troll's Hammer,standard,0,41,AxhammerLarge,1
23140000,Rotten Staff,somber,0,41,AxhammerLarge,1
23150000,Rotten Greataxe,standard,1,41,AxhammerLarge,1
24000000,Torch,standard,1,87,Torch,1
24020000,Steel-Wire Torch,standard,0,87,Torch,1
24040000,St. Trina's Torch,somber,0,87,Torch,1
24050000,Ghostflame Torch,standard,1,87,Torch,1
24060000,Beast-Repellent Torch,standard,1,87,Torch,1
24070000,Sentry's Torch,somber,0,87,Torch,1
