ID,Name,reinforcement,aow_allowed,wepType,wepTypeCol,maxArrowQuantity,allowed_affinities
7180000,Nomad's Kilij,somber,0,9,SaberNormal,1,Standard
4130000,Osian’s Greatsword,somber,0,7,SwordGigantic,1,Standard
10100000,Palm-Ax Twinblades,somber,0,14,SwordDoubleEdge,1,Standard
16170000,Phalanx Pike,somber,0,25,SpearNormal,1,Standard
1400000,Quicksilver Fragment,somber,0,1,Dagger,1,Standard
5090000,Quicksilver rapier,somber,0,15,SwordPierce,1,Standard
60520000,Rancor Touch,somber,0,88,HandToHand,1,Standard
18170000,Reaver’s Odachi,somber,0,94,GreatKatana,1,Standard
3250000,Regal Splitblade,somber,0,5,SwordLarge,1,Standard
18180000,Rhys' Swordspear,somber,0,29,SpearAxe,1,Standard
14160000,Rimeheart,somber,0,17,AxeNormal,1,Standard
19050000,Rosus harvester,somber,0,31,Sickle,1,Standard
19070000,Scarlet Triscythe,somber,0,31,Sickle,1,Standard
13060000,Seething Flail,somber,0,24,Flail,1,Standard
12070000,Sigur’s Greatmace,somber,0,23,HammerLarge,1,Standard
69500000,Smithscript Rosary,somber,0,88,HandToHand,1,Standard
16100000,Spear of Tranquility,somber,0,25,SpearNormal,1,Standard
17080000,Spear of the Dreaming,somber,0,28,SpearLarge,1,Standard
9050000,Star Shadow,somber,0,13,katana,1,Standard
18190000,Starcaller Mattock,somber,0,29,SpearAxe,1,Standard
22040000,Stone Claws,somber,0,37,Claw,1,Standard
1300000,Stormcaller's Dirk,somber,1,1,Dagger,1,Standard
10020000,Sulien's Razors,somber,0,14,SwordDoubleEdge,1,Standard
1120000,Surgeons Catlinger,standard,1,1,Dagger,1,Standard
3230000,Sword Of Hadea,somber,0,5,SwordLarge,1,Standard
3120000,Sword Of The Cyclops,somber,0,5,SwordLarge,1,Standard
67530000,Sword of the Cosmos,somber,0,93,LightGreatsword,1,Standard
5070000,Thorn Of The Guilty,somber,0,15,SwordPierce,1,Standard
8090000,Three Finger Blade,somber,0,11,SaberLarge,1,Standard
68550000,Transcendent Talons,somber,0,95,BeastClaw,1,Standard
11190000,Tricia's Pomander,somber,0,21,HammerNormal,1,Standard
1050000,Underworld Dagger,standard,1,1,Dagger,1,Standard
12030000,Underworld Greatmace,somber,0,23,HammerLarge,1,Standard
19040000,War Scythe,somber,0,31,Sickle,1,Standard
2030000,Yura’s Kanabo,somber,0,3,SwordNormal,1,Standard
11160000,Zamor Star Mace,somber,0,21,HammerNormal,1,Standard
7090000,Zephyr Blades,somber,0,9,SaberNormal,1,Standard
64530000,Fingerslayer Blade,somber,0,9,SaberNormal,1,Standard
67700000,Primeval Splinter,somber,1,93,LightGreatsword,1,Standard
