ID,Name,compatibleWepTypes,defaultAffinity,allowedAffinities,convergence_affinities
409000,Ash of War: Blind Spot,ReverseHandSword,Keen,Standard|Heavy|Keen|Quality|Fire|Flame Art|Lightning|Sacred|Magic|Cold|Poison|Blood|Occult,Standard|Heavy|Keen|Quality|Glint|Dragonkin|Gravity|Flame|Golden|Draconic|Bestial|Night|Lava
410000,Ash of War: Swift Slash,ReverseHandSword,Keen,Standard|Heavy|Keen|Quality|Fire|Flame Art|Lightning|Sacred|Magic|Cold|Poison|Blood|Occult,Standard|Heavy|Keen|Quality|Glint|Dragonkin|Gravity|Flame|Golden|Draconic|Bestial|Night|Lava
411000,Ash of War: Overhead Stance,GreatKatana,Keen,Standard|Heavy|Keen|Quality|Fire|Flame Art|Lightning|Sacred|Magic|Cold|Poison|Blood|Occult,Standard|Heavy|Keen|Quality|Glint|Dragonkin|Gravity|Flame|Golden|Draconic|Bestial|Night|Lava
412000,Ash of War: Wing Stance,LightGreatsword,Quality,Standard|Heavy|Keen|Quality|Fire|Flame Art|Lightning|Sacred|Magic|Cold|Poison|Blood|Occult,Standard|Heavy|Keen|Quality|Glint|Dragonkin|Gravity|Flame|Golden|Draconic|Bestial|Night|Lava
413000,Ash of War: Blinkbolt,Dagger|SwordNormal|SwordLarge|SwordGigantic|SaberNormal|SaberLarge|katana|SwordDoubleEdge|SwordPierce|RapierHeavy|AxeNormal|AxeLarge|HammerNormal|HammerLarge|Flail|SpearNormal|SpearHeavy|SpearAxe|Sickle|Knuckle|Claw|Whip|AxhammerLarge|HandToHand|ThrustingShield|ThrowingWeapon|ReverseHandSword|LightGreatsword|GreatKatana|BeastClaw,Lightning,Standard|Heavy|Keen|Quality|Lightning|Sacred,Standard|Heavy|Keen|Quality|Gravity|Flame
414000,Ash of War: Flame Skewer,SwordNormal|SwordLarge|SwordGigantic|katana|SwordDoubleEdge|SwordPierce|RapierHeavy|SpearNormal|SpearHeavy|SpearAxe|ThrustingShield|LightGreatsword|GreatKatana,Flame Art,Standard|Heavy|Keen|Quality|Fire|Flame Art,Standard|Heavy|Keen|Quality|Glint|Dragonkin
415000,Ash of War: Savage Lion's Claw,SwordNormal|SwordLarge|SwordGigantic|SaberNormal|SaberLarge|katana|SwordDoubleEdge|AxeNormal|AxeLarge|HammerNormal|HammerLarge|Flail|AxhammerLarge|LightGreatsword|GreatKatana,Heavy,Standard|Heavy|Keen|Quality|Fire|Flame Art|Lightning|Sacred|Magic|Cold|Poison|Blood|Occult,Standard|Heavy|Keen|Quality|Glint|Dragonkin|Gravity|Flame|Golden|Draconic|Bestial|Night|Lava
416000,Ash of War: Divine Beast Frost Stomp,Dagger|SwordNormal|SwordLarge|SwordGigantic|SaberNormal|SaberLarge|katana|SwordDoubleEdge|SwordPierce|RapierHeavy|AxeNormal|AxeLarge|HammerNormal|HammerLarge|Flail|SpearNormal|SpearHeavy|SpearAxe|Sickle|Knuckle|Claw|Whip|AxhammerLarge|HandToHand|ThrustingShield|ThrowingWeapon|ReverseHandSword|LightGreatsword|GreatKatana|BeastClaw,Cold,Standard|Heavy|Keen|Quality|Magic|Cold,Standard|Heavy|Keen|Quality|Golden|Draconic
417000,Ash of War: Flame Spear,Dagger|SwordNormal|SwordLarge|SwordGigantic|katana|SwordDoubleEdge|SwordPierce|RapierHeavy|SpearNormal|SpearHeavy|SpearAxe|ThrustingShield|LightGreatsword|GreatKatana,Flame Art,Standard|Heavy|Keen|Quality|Fire|Flame Art,Standard|Heavy|Keen|Quality|Glint|Dragonkin
418000,Ash of War: Carian Sovereignty,Dagger|SwordNormal|SwordLarge|SaberNormal|SaberLarge|katana|SwordDoubleEdge|SwordPierce|RapierHeavy|ThrowingWeapon|LightGreatsword|GreatKatana,Magic,Standard|Heavy|Keen|Quality|Magic|Cold,Standard|Heavy|Keen|Quality|Golden|Draconic
419000,Ash of War: Shriek of Sorrow,Dagger|SwordNormal|SwordLarge|SwordGigantic|SaberNormal|SaberLarge|katana|SwordDoubleEdge|SwordPierce|RapierHeavy|AxeNormal|AxeLarge|HammerNormal|HammerLarge|Flail|SpearNormal|SpearHeavy|SpearAxe|Sickle|Knuckle|Claw|Whip|AxhammerLarge|HandToHand|ThrustingShield|ThrowingWeapon|ReverseHandSword|LightGreatsword|GreatKatana|BeastClaw,Occult,Standard|Heavy|Keen|Quality|Poison|Blood|Occult,Standard|Heavy|Keen|Quality|Bestial|Night|Lava
422000,Ash of War: Ghostflame Call,SwordNormal|SwordLarge|SwordGigantic|SaberNormal|SaberLarge|katana|SwordPierce|RapierHeavy|SpearNormal|SpearHeavy|SpearAxe|LightGreatsword|GreatKatana,Cold,Standard|Heavy|Keen|Quality|Magic|Cold,Standard|Heavy|Keen|Quality|Golden|Draconic
505000,Ash of War: The Poison Flower Blooms Twice,Dagger|SwordNormal|SwordLarge|SwordGigantic|SaberNormal|SaberLarge|katana|SwordDoubleEdge|SwordPierce|RapierHeavy|AxeNormal|AxeLarge|HammerNormal|HammerLarge|Flail|SpearNormal|SpearHeavy|SpearAxe|Sickle|Knuckle|Claw|Whip|AxhammerLarge|HandToHand|ThrustingShield|ThrowingWeapon|ReverseHandSword|LightGreatsword|GreatKatana|BeastClaw,Poison,Standard|Heavy|Keen|Quality|Poison|Blood|Occult,Standard|Heavy|Keen|Quality|Bestial|Night|Lava
548000,Ash of War: Igon's Drake Hunt,BowLarge,Standard,Standard,Standard
800000,Ash of War: Shield Strike,ShieldSmall|ShieldNormal|ShieldLarge|ThrustingShield,Standard,Standard|Heavy|Keen|Quality|Fire|Flame Art|Lightning|Sacred|Magic|Cold|Poison|Blood|Occult,Standard|Heavy|Keen|Quality|Glint|Dragonkin|Gravity|Flame|Golden|Draconic|Bestial|Night|Lava
